epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
0.0,2.7334697246551514,0.1534954407294833,0.12742124278180214,0.12105593175813495,0.09546526447118732
1.0,1.384421467781067,0.567629179331307,0.4728239322554752,0.47244860127713184,0.44289195031190937
2.0,1.0228326320648193,0.6930091185410334,0.6967704709199166,0.6518171414007278,0.641876137285399
3.0,0.7676389813423157,0.7591185410334347,0.7280572826488217,0.7098678594604758,0.7139391834601341
4.0,0.6670995354652405,0.7933130699088146,0.7669585690412632,0.7632926253487722,0.7633824833879279
5.0,0.6278378367424011,0.8085106382978723,0.794654214174082,0.7800976099675384,0.7845686392036072
6.0,0.6120261549949646,0.8092705167173252,0.7879232626452358,0.7850113492576966,0.7841670999668523
7.0,0.5982122421264648,0.8275075987841946,0.814854932813502,0.800382776197548,0.8056225156512865
8.0,0.6042227149009705,0.8229483282674772,0.8122153337124298,0.7920753891733291,0.7987565121261748
9.0,0.5901405811309814,0.8259878419452887,0.8083127658533112,0.7960775435590902,0.8000516148074642
10.0,0.5987111330032349,0.8221884498480243,0.8076728868718975,0.7952409444741626,0.7998154962412353
11.0,0.6023034453392029,0.8229483282674772,0.8145863026349102,0.7923172024528027,0.8003389852741264
12.0,0.6016813516616821,0.8221884498480243,0.8020010140474961,0.7974588444567873,0.7968325376010167
13.0,0.6035729646682739,0.8237082066869301,0.8130717836701682,0.794749608300369,0.8015330374339479
14.0,0.6006492972373962,0.8214285714285714,0.7991094873932756,0.8014432053216344,0.797703043063922
15.0,0.5990993976593018,0.8191489361702128,0.79626415554088,0.7966311167205503,0.7945918043174899
16.0,0.6007403135299683,0.824468085106383,0.8051354135195914,0.7983095743250379,0.7989121893332117
17.0,0.5946018099784851,0.8229483282674772,0.804417997284428,0.7987463329429345,0.7988684230213766
18.0,0.5939145088195801,0.8297872340425532,0.8149298867854965,0.7986032818311636,0.8039194098751202
19.0,0.6097189784049988,0.8168693009118541,0.7967028464920598,0.7832961884408635,0.7860176450109568
20.0,0.6002028584480286,0.8206686930091185,0.8059378405434182,0.7968612174410037,0.7995487549502452
21.0,0.5967422127723694,0.8237082066869301,0.816170849770574,0.7914861267815239,0.8008188862459472
22.0,0.6094900369644165,0.8214285714285714,0.8037885614530618,0.794991035529966,0.7969265809450242
23.0,0.5948401093482971,0.8252279635258358,0.8074050282478655,0.791054446732321,0.7976583927015333
24.0,0.5994529724121094,0.8199088145896657,0.8001406071109419,0.7918006314007923,0.7937712041179198
25.0,0.6065109968185425,0.8199088145896657,0.8026468002091994,0.7916237298555809,0.7937184592465633
26.0,0.6000040173530579,0.8130699088145896,0.7936132566034377,0.7906103505399412,0.7902015464050093
27.0,0.5990185737609863,0.8206686930091185,0.8023051427715565,0.7931958552709739,0.7957508816919479
28.0,0.5984684228897095,0.8214285714285714,0.8048997185298186,0.7936502851453531,0.7956619693033811
29.0,0.5998536348342896,0.8214285714285714,0.7972212130184722,0.8045983086002008,0.797282134862685
30.0,0.5984439849853516,0.8206686930091185,0.8070981063985695,0.7923844156274907,0.7973930876052383
31.0,0.6004096269607544,0.8206686930091185,0.8055818140672156,0.7952344559113741,0.7981312169558229
32.0,0.5945315361022949,0.8199088145896657,0.8016923538405266,0.7917613430836631,0.7950104016263118
33.0,0.6031345725059509,0.8199088145896657,0.8024146826806372,0.7882563965851607,0.7921402892925613
34.0,0.6054758429527283,0.8229483282674772,0.8029733274885235,0.798574658849661,0.796430321571341
35.0,0.5978573560714722,0.8206686930091185,0.8060549775023476,0.7918952439778978,0.7966390516980176
