Class,Class_ID,Confidence(%)
木星,2,95.71099281311035
火星,3,1.8279265612363815
土星,8,1.6462158411741257
地球,1,0.38067351561039686
金星,11,0.2545253373682499
冥王星,7,0.07510468130931258
海王星,6,0.0458605500170961
水星,4,0.03268584550824016
月球,5,0.014728227688465267
天王星,10,0.006647825648542494
