Class,Class_ID,Confidence(%),WordNet
banana,954,99.79852437973022,n07753592
zucchini,939,0.11794782476499677,n07716358
acorn_squash,941,0.03752710472326726,n07717410
spaghetti_squash,940,0.0119506185001228,n07716906
cucumber,943,0.005712508573196828,n07718472
coil,506,0.004922236257698387,n03065424
bell_pepper,945,0.0034059259633067995,n07720875
coral_fungus,991,0.0019028831957257353,n12985857
vase,883,0.0013379699339566287,n04522168
hook,600,0.0013348271750146523,n03532672
